time,value
2008021003,17.4
2008021004,17.3
2008021005,17.4
2008021006,16.4
2008021007,16.7
2008021008,17.7
2008021009,17.0
2008021010,17.2
2008021011,16.8
2008021012,17.3
2008021013,16.8
2008021014,16.4
2008021015,15.5
2008021016,15.9
2008021017,15.7
2008021018,15.1
2008021019,13.8
2008021020,15.1
2008021021,13.9
2008021022,15.5
2008021023,15.3
2008021100,15.1
2008021101,16.2
2008021102,15.6
2008021103,15.2
2008021104,15.2
2008021105,15.5
2008021106,15.2
2008021107,16.2
2008021108,16.4
2008021109,16.9
2008021110,16.9
2008021111,16.5
2008021112,17.7
2008021113,16.8
2008021114,17.7
2008021115,16.7
2008021116,17.7
2008021117,16.3
2008021118,19.4
2008021119,17.3
2008021120,18.4
2008021121,18.2
2008021122,19.5
2008021123,19.4
2008021200,18.0
2008021201,17.6
2008021202,18.8
2008021203,18.4
2008021204,20.2
2008021205,21.0
2008021206,20.4
2008021207,22.0
2008021208,22.7
2008021209,21.8
2008021210,21.9
2008021211,21.6
2008021212,21.8
2008021213,23.3
2008021214,21.1
2008021215,21.9
2008021216,21.5
2008021217,21.3
2008021218,20.1
2008021219,19.5
2008021220,20.7
2008021221,19.6
2008021222,20.2
2008021223,19.4
2008021300,20.0
2008021301,20.4
2008021302,20.5
2008021303,21.2
2008021304,20.8
2008021305,21.6
2008021306,19.5
2008021307,21.3
2008021308,20.7
2008021309,20.5
2008021310,20.1
2008021311,19.3
2008021312,19.1
2008021313,18.9
2008021314,18.5
2008021315,19.5
2008021316,18.3
2008021317,18.7
2008021318,16.6
2008021319,17.1
2008021320,15.7
2008021321,16.4
2008021322,16.6
2008021323,14.6
2008021400,15.3
2008021401,15.3
2008021402,15.4
2008021403,15.5
2008021404,14.8
2008021405,14.7
2008021406,14.8
2008021407,16.0
2008021408,14.0
2008021409,15.5
2008021410,14.9
2008021411,14.8
2008021412,15.9
2008021413,15.4
2008021414,14.2
2008021415,14.7
2008021416,14.3
2008021417,13.5
2008021418,14.0
2008021419,13.9
2008021420,13.3
2008021421,13.5
2008021422,13.9
2008021423,14.0
2008021500,13.4
2008021501,14.0
2008021502,14.4
2008021503,14.3
2008021504,14.7
2008021505,14.3
2008021506,16.4
2008021507,15.0
2008021508,16.1
2008021509,16.1
2008021510,16.4
2008021511,17.4
2008021512,18.3
2008021513,17.0
2008021514,17.0
2008021515,18.0
2008021516,18.0
2008021517,16.7
2008021518,16.5
2008021519,16.5
2008021520,16.7
2008021521,17.4
2008021522,16.5
2008021523,18.3
2008021600,15.9
2008021601,16.5
2008021602,17.2
2008021603,16.6
2008021604,17.8
2008021605,18.0
2008021606,20.0
2008021607,18.2
2008021608,19.5
2008021609,19.2
2008021610,19.4
2008021611,18.8
2008021612,19.9
2008021613,18.5
2008021614,18.5
2008021615,19.2
2008021616,17.6
2008021617,16.7
2008021618,16.0
2008021619,16.6
2008021620,15.2
2008021621,16.4
2008021622,16.1
2008021623,16.1
2008021700,15.6
2008021701,16.5
2008021702,16.7
2008021703,16.5
2008021704,17.5
2008021705,17.4
2008021706,17.7
2008021707,18.0
2008021708,18.5
2008021709,18.2
2008021710,18.7
2008021711,17.9
2008021712,18.5
2008021713,18.6
2008021714,18.9
2008021715,19.0
2008021716,17.4
2008021717,19.0
2008021718,18.7
2008021719,17.1
2008021720,17.3
2008021721,18.6
2008021722,17.6
2008021723,17.8
2008021800,17.7
2008021801,16.4
2008021802,17.3
2008021803,16.0
2008021804,17.6
2008021805,17.5
2008021806,17.6
2008021807,18.5
2008021808,17.9
2008021809,18.5
2008021810,18.9
2008021811,18.3
2008021812,19.0
2008021813,18.9
2008021814,19.7
2008021815,19.0
2008021816,19.0
2008021817,19.7
2008021818,18.8
2008021819,18.3
2008021820,17.4
2008021821,18.9
2008021822,17.2
2008021823,17.9
2008021900,18.8
2008021901,18.2
2008021902,17.9
2008021903,18.8
2008021904,20.0
2008021905,20.8
2008021906,19.2
2008021907,19.5
2008021908,19.4
2008021909,19.7
2008021910,20.5
2008021911,20.3
2008021912,20.2
2008021913,19.8
2008021914,18.6
2008021915,18.9
2008021916,17.7
2008021917,17.3
2008021918,16.9
2008021919,14.6
2008021920,14.8
2008021921,15.2
2008021922,14.8
2008021923,14.2
2008022000,14.7
2008022001,15.4
2008022002,14.7
2008022003,15.7
2008022004,16.0
2008022005,15.9
2008022006,14.8
2008022007,16.4
2008022008,16.4
2008022009,16.6
2008022010,17.2
2008022011,16.5
2008022012,16.7
2008022013,16.4
2008022014,16.4
2008022015,15.6
2008022016,15.4
2008022017,16.1
2008022018,15.4
2008022019,14.8
2008022020,15.7
2008022021,14.9
2008022022,14.3
2008022023,13.4
2008022100,12.3
2008022101,14.2
2008022102,12.9
2008022103,16.1
2008022104,16.7
2008022105,15.4
2008022106,14.6
2008022107,16.6
2008022108,16.3
2008022109,17.7
2008022110,17.7
2008022111,17.8
2008022112,17.0
2008022113,17.4
2008022114,17.8
2008022115,17.5
2008022116,16.2
2008022117,17.6
2008022118,15.8
2008022119,15.8
2008022120,15.2
2008022121,15.4
2008022122,13.8
2008022123,14.7
2008022200,13.2
2008022201,15.0
2008022202,14.0
2008022203,13.3
2008022204,14.4
2008022205,15.3
2008022206,13.7
2008022207,14.6
2008022208,15.3
2008022209,15.0
2008022210,14.2
2008022211,15.1
2008022212,14.9
2008022213,15.8
2008022214,14.8
2008022215,15.5
2008022216,14.7
2008022217,14.9
2008022218,14.5
2008022219,14.4
2008022220,14.3
2008022221,14.5
2008022222,15.1
2008022223,14.9
2008022300,15.5
2008022301,14.9
2008022302,15.8
2008022303,17.4
2008022304,16.8
2008022305,17.2
2008022306,17.2
2008022307,18.1
2008022308,20.5
2008022309,19.7
2008022310,19.8
2008022311,22.0
2008022312,20.6
2008022313,20.6
2008022314,21.1
2008022315,21.6
2008022316,22.7
2008022317,21.9
2008022318,21.8
2008022319,22.4
2008022320,20.4
2008022321,22.5
2008022322,21.4
2008022323,21.3
2008022400,23.2
2008022401,22.0
2008022402,23.0
2008022403,23.1
2008022404,22.3
2008022405,23.0
2008022406,22.4
2008022407,21.8
2008022408,23.0
2008022409,22.7
2008022410,21.4
2008022411,22.6
2008022412,22.6
2008022413,21.0
2008022414,22.7
2008022415,23.0
2008022416,22.8
2008022417,24.4
2008022418,24.1
2008022419,24.3
2008022420,24.4
2008022421,25.3
2008022422,24.0
2008022423,24.7
2008022500,24.2
2008022501,23.3
2008022502,24.7
2008022503,23.4
2008022504,23.3
2008022505,24.3
2008022506,23.9
2008022507,25.7
2008022508,23.4
2008022509,24.0
2008022510,24.2
2008022511,24.5
2008022512,23.4
2008022513,24.2
2008022514,24.3
2008022515,23.6
2008022516,23.9
2008022517,22.8
2008022518,21.6
2008022519,21.2
2008022520,21.5
2008022521,22.4
2008022522,21.0
2008022523,19.8
2008022600,20.7
2008022601,21.1
2008022602,20.9
2008022603,20.9
2008022604,20.5
2008022605,19.8
2008022606,19.7
2008022607,19.7
2008022608,19.3
2008022609,20.6
2008022610,20.3
2008022611,21.2
2008022612,20.2
2008022613,20.2
2008022614,20.4
2008022615,18.7
2008022616,18.4
2008022617,18.9
2008022618,19.0
2008022619,18.2
2008022620,17.5
2008022621,17.3
2008022622,16.0
2008022623,16.5
2008022700,15.5
2008022701,15.8
2008022702,15.2
2008022703,14.8
2008022704,16.3
2008022705,14.8
2008022706,14.3
2008022707,14.5
2008022708,14.7
2008022709,14.7
2008022710,15.4
2008022711,14.2
2008022712,15.3
2008022713,12.9
2008022714,14.5
2008022715,13.4
2008022716,13.8
2008022717,12.7
2008022718,12.5
2008022719,12.8
2008022720,12.6
2008022721,12.7
2008022722,13.2
2008022723,12.8
2008022800,12.0
2008022801,13.7
2008022802,14.3
2008022803,14.0
2008022804,15.1
2008022805,14.8
2008022806,15.5
2008022807,16.5
2008022808,15.6
2008022809,16.4
2008022810,14.7
2008022811,15.6
2008022812,15.2
2008022813,13.6
2008022814,14.8
2008022815,14.4
2008022816,15.6
2008022817,15.0
2008022818,14.0
2008022819,13.5
2008022820,14.7
2008022821,12.5
2008022822,13.0
2008022823,14.3
2008022900,13.6
2008022901,13.3
2008022902,13.4
2008022903,13.5
2008022904,13.7
2008022905,14.5
2008022906,13.9
2008022907,14.1
2008022908,15.0
2008022909,15.2
2008022910,14.8
2008022911,15.2
2008022912,13.8
